State,Action,QValue
3320,1,0
3320,3,0
3320,4,0
3374,1,0
3374,3,0
3392,1,-0.993218
3392,3,-0.990311
3398,1,-0.999997
3398,3,-0.999997
3400,1,-1
3400,3,-1
3554,1,10
3554,4,0
3560,1,10
3560,4,0
3562,1,10
3562,4,0
3608,1,0
3614,1,0
3616,1,0
3632,1,-1
3634,1,-1
3640,1,-1
4022,1,0
4022,3,0
4022,4,0
4046,1,0
4046,3,0
4046,4,0
4048,1,0
4048,3,0
4048,4,0
4094,1,-1
4094,3,-1
4100,1,-1
4100,3,-1
4102,1,-1
4102,3,-1
4118,1,-0.3
4118,3,0
4120,1,-1
4120,3,-1
4126,1,-1
4126,3,-1
4256,1,-1
4256,4,-1
4262,1,-0.999934
4262,4,-0.999934
4264,1,-0.999866
4264,4,-0.999866
4280,1,-1
4280,4,-1
4282,1,-1
4282,4,-1
4288,1,-0.999968
4288,4,-0.999954
4334,1,-1
4336,1,-1
4342,1,0
4360,1,-1
5480,3,-0.999934
5480,4,-0.999906
5498,3,10
5498,4,0
5504,3,-1
5504,4,-1
5506,3,-1
5506,4,-1
5552,3,-1
5558,3,-1
5560,3,-1
5576,3,0
5578,3,-1
5584,3,-1
5714,4,-1
5720,4,-1
5722,4,-0.51
5738,4,-1
5740,4,-1
5746,4,-1
6200,3,10
6200,4,0
6206,3,-1
6206,4,-1
6208,3,-1
6208,4,-1
6226,3,10
6226,4,0
6232,3,-1
6232,4,-1
6278,3,0
6280,3,-1
6286,3,-0.51
6304,3,-0.3
6440,4,-1
6442,4,-1
6448,4,-0.51
6466,4,-0.3
7694,0,0
7694,2,0
7694,4,0
7748,0,-0.999202
7748,2,-0.99886
7766,0,0
7766,2,0
7772,0,-1
7772,2,-1
7774,0,-1
7774,2,-1
7928,0,0
7928,2,0
7928,4,0
7934,0,0
7934,2,0
7934,4,0
7936,0,0
7936,2,0
7936,4,0
7982,0,-1
7982,2,-1
7988,0,-0.999995
7988,2,-0.999995
7990,0,-0.3
7990,2,0
8006,0,-1
8006,2,-1
8008,0,-1
8008,2,-1
8014,0,-1
8014,2,-1
8396,0,10
8396,4,0
8420,0,10
8420,4,0
8422,0,10
8422,4,0
8468,0,0
8474,0,-1
8476,0,-1
8492,0,0
8494,0,0
8500,0,-1
8630,0,-1
8630,4,-1
8636,0,-1
8636,4,-1
8638,0,-1
8638,4,-1
8654,0,-0.999954
8654,4,-0.999934
8656,0,-0.999934
8656,4,-0.999906
8662,0,-0.999934
8662,4,-0.999906
8708,0,-1
8710,0,-1
8716,0,-1
8734,0,-0.3
9152,1,10
9152,4,4.6
9206,1,-1
9206,5,-1
9230,1,0
9232,1,-1
9386,1,10
9386,4,0
9392,1,9.99995
9392,4,0
9394,1,9.99992
9394,4,0
9440,1,-0.999808
9440,5,-0.999808
9446,1,-0.999977
9446,5,-0.999968
9448,1,-0.999726
9448,5,-0.999609
9464,1,-0.999999
9466,1,-1
9472,1,-1
9638,0,10
9638,4,4.6
9710,0,0
9710,6,0
9716,0,0
9718,0,0
9800,2,7
9800,3,7
9908,2,0
10034,0,6.99977
10034,2,0
