Game,TotalReward,WinRate
1,-18,0.56
2,-20,0.56
3,-7,0.56
4,-60,0.56
5,-5,0.56
6,-1,0.56
7,6,0.56
8,-7,0.56
9,-10,0.56
10,-26,0.56
11,-14,0.56
12,-7,0.56
13,6,0.56
14,-12,0.56
15,-1,0.56
16,6,0.56
17,5,0.56
18,6,0.56
19,-6,0.56
20,-15,0.56
21,3,0.56
22,-32,0.56
23,6,0.56
24,6,0.56
25,-27,0.56
26,-60,0.56
27,-18,0.56
28,-113,0.56
29,6,0.56
30,-13,0.56
31,-38,0.56
32,-3,0.56
33,-42,0.56
34,1,0.56
35,-65,0.56
36,-22,0.56
37,-29,0.56
38,-12,0.56
39,2,0.56
40,-10,0.56
41,-9,0.56
42,-8,0.56
43,-31,0.56
44,-44,0.56
45,-43,0.56
46,6,0.56
47,6,0.56
48,-33,0.56
49,-13,0.56
50,6,0.56
51,3,0.56
52,-16,0.56
53,-16,0.56
54,-42,0.56
55,6,0.56
56,6,0.56
57,-20,0.56
58,-85,0.56
59,-11,0.56
60,-8,0.56
61,-46,0.56
62,-56,0.56
63,6,0.56
64,-2,0.56
65,-97,0.56
66,-94,0.56
67,-69,0.56
68,6,0.56
69,-15,0.56
70,-3,0.56
71,-20,0.56
72,-20,0.56
73,-30,0.56
74,-63,0.56
75,-9,0.56
76,-20,0.56
77,-40,0.56
78,-27,0.56
79,6,0.56
80,-43,0.56
81,-97,0.56
82,6,0.56
83,-1,0.56
84,-49,0.56
85,-5,0.56
86,-7,0.56
87,-20,0.56
88,6,0.56
89,6,0.56
90,-50,0.56
91,-13,0.56
92,5,0.56
93,6,0.56
94,-18,0.56
95,-3,0.56
96,-11,0.56
97,-7,0.56
98,-11,0.56
99,6,0.56
100,-158,0.56
101,6,0.66
102,-88,0.66
103,-29,0.66
104,-44,0.66
105,-47,0.66
106,-65,0.66
107,-34,0.66
108,-17,0.66
109,-5,0.66
110,-12,0.66
111,6,0.66
112,-47,0.66
113,-3,0.66
114,5,0.66
115,6,0.66
116,-168,0.66
117,6,0.66
118,6,0.66
119,-56,0.66
120,-53,0.66
121,-46,0.66
122,6,0.66
123,-81,0.66
124,-39,0.66
125,-12,0.66
126,-122,0.66
127,-69,0.66
128,-89,0.66
129,-173,0.66
130,-49,0.66
131,-44,0.66
132,6,0.66
133,-54,0.66
134,-26,0.66
135,6,0.66
136,-53,0.66
137,-21,0.66
138,6,0.66
139,6,0.66
140,6,0.66
141,6,0.66
142,6,0.66
143,-27,0.66
