Game,TotalReward,WinRate
1,-18,0.56
2,-20,0.56
3,-7,0.56
4,-60,0.56
5,-5,0.56
6,-1,0.56
7,6,0.56
8,-7,0.56
9,-10,0.56
10,-26,0.56
11,-14,0.56
12,-7,0.56
13,6,0.56
14,-12,0.56
15,-1,0.56
16,6,0.56
17,5,0.56
18,6,0.56
19,-6,0.56
20,-15,0.56
21,3,0.56
22,-32,0.56
23,6,0.56
24,6,0.56
25,-27,0.56
26,-60,0.56
27,-18,0.56
28,-113,0.56
29,6,0.56
30,-13,0.56
31,-38,0.56
32,-3,0.56
33,-42,0.56
34,1,0.56
35,-65,0.56
36,-22,0.56
37,-29,0.56
38,-12,0.56
39,2,0.56
40,-10,0.56
41,-9,0.56
42,-8,0.56
43,-31,0.56
44,-44,0.56
45,-43,0.56
46,6,0.56
47,6,0.56
48,-33,0.56
49,-13,0.56
50,6,0.56
51,3,0.56
52,-16,0.56
53,-16,0.56
54,-42,0.56
55,6,0.56
56,6,0.56
57,-20,0.56
58,-85,0.56
59,-11,0.56
60,-8,0.56
61,-46,0.56
62,-56,0.56
63,6,0.56
64,-2,0.56
65,-97,0.56
66,-94,0.56
67,-69,0.56
68,6,0.56
69,-15,0.56
70,-3,0.56
71,-20,0.56
72,-20,0.56
73,-30,0.56
74,-63,0.56
75,-9,0.56
76,-20,0.56
77,-40,0.56
78,-27,0.56
79,6,0.56
80,-43,0.56
81,-97,0.56
82,6,0.56
83,-1,0.56
84,-49,0.56
85,-5,0.56
86,-7,0.56
87,-20,0.56
88,6,0.56
89,6,0.56
90,-50,0.56
91,-13,0.56
92,5,0.56
93,6,0.56
94,-18,0.56
95,-3,0.56
96,-11,0.56
97,-7,0.56
98,-11,0.56
99,6,0.56
100,-158,0.56
101,6,0.62
102,-88,0.62
103,-29,0.62
104,-44,0.62
105,-47,0.62
106,-65,0.62
107,-34,0.62
108,-17,0.62
109,-5,0.62
110,-17,0.62
111,-46,0.62
112,-3,0.62
113,5,0.62
114,6,0.62
115,-168,0.62
116,6,0.62
117,6,0.62
118,-56,0.62
119,-53,0.62
120,-77,0.62
121,-40,0.62
122,-3,0.62
123,-24,0.62
124,-3,0.62
125,-12,0.62
126,-9,0.62
127,-7,0.62
128,-26,0.62
129,6,0.62
130,-52,0.62
131,-37,0.62
132,-60,0.62
133,-89,0.62
134,-9,0.62
135,-84,0.62
136,-18,0.62
137,-11,0.62
138,-37,0.62
139,-48,0.62
140,6,0.62
141,6,0.62
142,-18,0.62
