Game,TotalReward,WinRate
1,0,0.48
2,0,0.48
3,0,0.48
4,0,0.48
5,0,0.48
6,0,0.48
7,0,0.48
8,0,0.48
9,0,0.48
10,0,0.48
11,0,0.48
12,0,0.48
13,0,0.48
14,0,0.48
15,0,0.48
16,0,0.48
17,0,0.48
18,0,0.48
19,0,0.48
20,0,0.48
21,0,0.48
22,0,0.48
23,0,0.48
24,0,0.48
25,0,0.48
26,0,0.48
27,0,0.48
28,0,0.48
29,0,0.48
30,0,0.48
31,0,0.48
32,0,0.48
33,0,0.48
34,0,0.48
35,0,0.48
36,0,0.48
37,0,0.48
38,0,0.48
39,0,0.48
40,0,0.48
41,0,0.48
42,0,0.48
43,0,0.48
44,0,0.48
45,0,0.48
46,0,0.48
47,0,0.48
48,0,0.48
49,0,0.48
50,0,0.48
51,0,0.48
52,0,0.48
53,0,0.48
54,0,0.48
55,0,0.48
56,0,0.48
57,0,0.48
58,0,0.48
59,0,0.48
60,0,0.48
61,0,0.48
62,0,0.48
63,0,0.48
64,0,0.48
65,0,0.48
66,0,0.48
67,0,0.48
68,0,0.48
69,0,0.48
70,0,0.48
71,0,0.48
72,0,0.48
73,0,0.48
74,0,0.48
75,0,0.48
76,0,0.48
77,0,0.48
78,0,0.48
79,0,0.48
80,0,0.48
81,0,0.48
82,0,0.48
83,0,0.48
84,0,0.48
85,0,0.48
86,0,0.48
87,0,0.48
88,0,0.48
89,0,0.48
90,0,0.48
91,0,0.48
92,0,0.48
93,0,0.48
94,0,0.48
95,0,0.48
96,0,0.48
97,0,0.48
98,0,0.48
99,0,0.48
100,0,0.48
101,0,0.52
102,0,0.52
103,0,0.52
104,0,0.52
105,0,0.52
106,0,0.52
107,0,0.52
108,0,0.52
109,0,0.52
110,0,0.52
111,0,0.52
112,0,0.52
113,0,0.52
114,0,0.52
115,0,0.52
116,0,0.52
117,0,0.52
118,0,0.52
119,0,0.52
120,0,0.52
121,0,0.52
122,0,0.52
123,0,0.52
124,0,0.52
125,0,0.52
126,0,0.52
127,0,0.52
128,0,0.52
129,0,0.52
130,0,0.52
131,0,0.52
132,0,0.52
133,0,0.52
134,0,0.52
135,0,0.52
136,0,0.52
137,0,0.52
138,0,0.52
139,0,0.52
140,0,0.52
141,0,0.52
142,0,0.52
143,0,0.52
144,0,0.52
145,0,0.52
146,0,0.52
147,0,0.52
148,0,0.52
149,0,0.52
150,0,0.52
151,0,0.52
152,0,0.52
153,0,0.52
154,0,0.52
155,0,0.52
156,0,0.52
157,0,0.52
158,0,0.52
159,0,0.52
160,0,0.52
161,0,0.52
162,0,0.52
163,0,0.52
164,0,0.52
165,0,0.52
166,0,0.52
167,0,0.52
168,0,0.52
169,0,0.52
170,0,0.52
171,0,0.52
172,0,0.52
173,0,0.52
174,0,0.52
175,0,0.52
176,0,0.52
177,0,0.52
178,0,0.52
179,0,0.52
180,0,0.52
181,0,0.52
182,0,0.52
183,0,0.52
184,0,0.52
185,0,0.52
186,0,0.52
187,0,0.52
188,0,0.52
189,0,0.52
190,0,0.52
191,0,0.52
192,0,0.52
193,0,0.52
194,0,0.52
195,0,0.52
196,0,0.52
197,0,0.52
198,0,0.52
199,0,0.52
200,0,0.52
201,0,0.56
202,0,0.56
203,0,0.56
204,0,0.56
205,0,0.56
206,0,0.56
207,0,0.56
208,0,0.56
209,0,0.56
210,0,0.56
211,0,0.56
212,0,0.56
213,0,0.56
214,0,0.56
215,0,0.56
216,0,0.56
217,0,0.56
218,0,0.56
219,0,0.56
220,0,0.56
221,0,0.56
222,0,0.56
223,0,0.56
224,0,0.56
225,0,0.56
226,0,0.56
227,0,0.56
228,0,0.56
229,0,0.56
230,0,0.56
231,0,0.56
232,0,0.56
233,0,0.56
234,0,0.56
235,0,0.56
236,0,0.56
237,0,0.56
238,0,0.56
239,0,0.56
240,0,0.56
241,0,0.56
242,0,0.56
243,0,0.56
244,0,0.56
245,0,0.56
246,0,0.56
247,0,0.56
248,0,0.56
249,0,0.56
250,0,0.56
251,0,0.56
252,0,0.56
253,0,0.56
254,0,0.56
255,0,0.56
256,0,0.56
257,0,0.56
258,0,0.56
259,0,0.56
260,0,0.56
261,0,0.56
262,0,0.56
263,0,0.56
264,0,0.56
265,0,0.56
266,0,0.56
267,0,0.56
268,0,0.56
269,0,0.56
270,0,0.56
271,0,0.56
272,0,0.56
273,0,0.56
274,0,0.56
275,0,0.56
276,0,0.56
277,0,0.56
278,0,0.56
279,0,0.56
280,0,0.56
281,0,0.56
282,0,0.56
283,0,0.56
284,0,0.56
285,0,0.56
286,0,0.56
287,0,0.56
288,0,0.56
289,0,0.56
290,0,0.56
291,0,0.56
292,0,0.56
293,0,0.56
294,0,0.56
295,0,0.56
296,0,0.56
297,0,0.56
298,0,0.56
299,0,0.56
300,0,0.56
301,0,0.52
302,0,0.52
303,0,0.52
304,0,0.52
305,0,0.52
306,0,0.52
307,0,0.52
308,0,0.52
309,0,0.52
310,0,0.52
311,0,0.52
312,0,0.52
313,0,0.52
314,0,0.52
315,0,0.52
316,0,0.52
317,0,0.52
318,0,0.52
319,0,0.52
320,0,0.52
321,0,0.52
322,0,0.52
323,0,0.52
324,0,0.52
325,0,0.52
326,0,0.52
327,0,0.52
328,0,0.52
329,0,0.52
330,0,0.52
331,0,0.52
332,0,0.52
333,0,0.52
334,0,0.52
335,0,0.52
336,0,0.52
337,0,0.52
338,0,0.52
339,0,0.52
340,0,0.52
341,0,0.52
342,0,0.52
343,0,0.52
344,0,0.52
345,0,0.52
346,0,0.52
347,0,0.52
348,0,0.52
349,0,0.52
350,0,0.52
351,0,0.52
352,0,0.52
353,0,0.52
354,0,0.52
355,0,0.52
356,0,0.52
357,0,0.52
358,0,0.52
359,0,0.52
360,0,0.52
361,0,0.52
362,0,0.52
363,0,0.52
364,0,0.52
365,0,0.52
366,0,0.52
367,0,0.52
368,0,0.52
369,0,0.52
370,0,0.52
371,0,0.52
372,0,0.52
373,0,0.52
374,0,0.52
375,0,0.52
376,0,0.52
377,0,0.52
378,0,0.52
379,0,0.52
380,0,0.52
381,0,0.52
382,0,0.52
383,0,0.52
384,0,0.52
385,0,0.52
386,0,0.52
387,0,0.52
388,0,0.52
389,0,0.52
390,0,0.52
391,0,0.52
392,0,0.52
393,0,0.52
394,0,0.52
395,0,0.52
396,0,0.52
397,0,0.52
398,0,0.52
399,0,0.52
400,0,0.52
401,0,0.52
402,0,0.52
403,0,0.52
404,0,0.52
405,0,0.52
406,0,0.52
407,0,0.52
408,0,0.52
409,0,0.52
410,0,0.52
411,0,0.52
412,0,0.52
413,0,0.52
414,0,0.52
415,0,0.52
416,0,0.52
417,0,0.52
418,0,0.52
419,0,0.52
420,0,0.52
421,0,0.52
422,0,0.52
423,0,0.52
424,0,0.52
425,0,0.52
426,0,0.52
427,0,0.52
428,0,0.52
429,0,0.52
430,0,0.52
431,0,0.52
432,0,0.52
433,0,0.52
434,0,0.52
435,0,0.52
436,0,0.52
437,0,0.52
438,0,0.52
439,0,0.52
440,0,0.52
441,0,0.52
442,0,0.52
443,0,0.52
444,0,0.52
445,0,0.52
446,0,0.52
447,0,0.52
448,0,0.52
449,0,0.52
450,0,0.52
451,0,0.52
452,0,0.52
453,0,0.52
454,0,0.52
455,0,0.52
456,0,0.52
457,0,0.52
458,0,0.52
459,0,0.52
460,0,0.52
461,0,0.52
462,0,0.52
463,0,0.52
464,0,0.52
465,0,0.52
466,0,0.52
467,0,0.52
468,0,0.52
469,0,0.52
470,0,0.52
471,0,0.52
472,0,0.52
473,0,0.52
474,0,0.52
475,0,0.52
476,0,0.52
477,0,0.52
478,0,0.52
479,0,0.52
480,0,0.52
481,0,0.52
482,0,0.52
483,0,0.52
484,0,0.52
485,0,0.52
486,0,0.52
487,0,0.52
488,0,0.52
489,0,0.52
490,0,0.52
491,0,0.52
492,0,0.52
493,0,0.52
494,0,0.52
495,0,0.52
496,0,0.52
497,0,0.52
498,0,0.52
499,0,0.52
500,0,0.52
501,0,0.46
502,0,0.46
503,0,0.46
504,0,0.46
505,0,0.46
506,0,0.46
507,0,0.46
508,0,0.46
509,0,0.46
510,0,0.46
511,0,0.46
512,0,0.46
513,0,0.46
514,0,0.46
515,0,0.46
516,0,0.46
517,0,0.46
518,0,0.46
519,0,0.46
520,0,0.46
